http://british-library.georeferencer.com/id/,path,title,link
002OSD000000003U00184000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000003U00184000.tif,Banbury,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000003u00184000.html
002OSD000000003U00197000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000003U00197000.tif,Bury St. Edmunds,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000003u00197000.html
002OSD000000004U00287000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000004U00287000.tif,Bodferry,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000004u00287000.html
002OSD000000004U00294000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000004U00294000.tif,Betley,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000004u00294000.html
002osd000000004u00314000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000004U00314000.tif,Birkenhead,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000004u00314000.html
002OSD000000006U00384000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000006U00384000.tif,Bromley (Kent),http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000006u00384000.html
002OSD000000006U00388000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000006U00388000.tif,"Barking, Essex",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000006u00388000.html
002OSD000000007U00033000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000007U00033000.tif,Bedminster,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000007u00033000.html
002OSD000000007U00039000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000007U00039000.tif,Beaminster,http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000007u00039000.html
002OSD000000007U00046000,2019_06\2019-02 Zoomify Geo - Folder 2\OSDs TIFF Versions\002OSD000000007U00046000.tif,"Bradford, Wiltshire",http://www.bl.uk/onlinegallery/onlineex/ordsurvdraw/b/002osd000000007u00046000.html
